Type,TO?,feasible,time(sec),source_file
QUERY_NORMAL,False,False,3.91935133934021,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.6955277919769287,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.7619118690490723,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.797775983810425,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,4.866627216339111,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.6757869720458984,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,4.037933349609375,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.7986092567443848,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.6741604804992676,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.886082410812378,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.5832788944244385,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.839068651199341,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.9794511795043945,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.892582654953003,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,4.639873743057251,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.763261079788208,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.7309415340423584,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.725926637649536,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.87064790725708,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,4.773953199386597,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,4.672630071640015,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,5.009880542755127,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.9567530155181885,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.9336092472076416,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.9618217945098877,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,4.1153175830841064,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.8800668716430664,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,4.447537660598755,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.769388437271118,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.8817193508148193,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.8835887908935547,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,True,4.599750518798828,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.6857821941375732,EtherstoreReentrancy-Mode.epa
QUERY_NORMAL,False,False,3.607726812362671,EtherstoreReentrancy-Mode.epa
